.thisRepN,.thisTrialN,.thisN,.thisIndex,thisRow.t,notes,LocalTime_DDMMYY_HMS,lab,mode,participant,gender,age,handed,intruct_lang,loc_quad,trial,start_position,trial_direction,catch_trial,t_stim_1,t_stim_2,t_stim_3,t_stim_4,experiment_time_s,key_pressed,press_time,t_trial,block,attention,expected,recalibrated,
0,-1,-1,0,,,19/3/2024_12:12:53,none,default,45,Male,54,left,English,0,1,3,1,0,469.21939999447204,1053.237899999658,1676.2493999995058,2331.7475999938324,5.142584099994565,None,None,2945.7127999994555,1,attended,regular,0.0,
0,-1,-1,0,,,19/3/2024_12:12:56,none,default,45,Male,54,left,English,0,2,3,0,0,498.8837000055355,1129.9618000048213,1774.7566000034567,2437.143900002411,8.187922799996159,None,None,3042.3426999986987,1,attended,odd,0.0,
0,-1,-1,0,,,19/3/2024_12:12:59,none,default,45,Male,54,left,English,0,3,3,1,0,536.6969000024255,1150.7123000046704,1756.702900005621,2455.766900005983,11.25659839999571,None,None,3066.3991999972495,1,attended,regular,0.0,
0,-1,-1,0,,,19/3/2024_12:13:2,none,default,45,Male,54,left,English,0,4,3,1,0,593.6137000026065,1263.0996000007144,1881.5854000058607,2478.7309000021196,14.344942099996842,None,None,3085.7679000037024,1,attended,regular,0.0,
0,-1,-1,0,,,19/3/2024_12:13:5,none,default,45,Male,54,left,English,0,5,3,0,1,539.595800000825,1130.547699998715,1725.518600003852,2292.545700001938,17.246961899996677,None,None,2898.8917999959085,1,attended,odd,0.0,
0,-1,-1,0,,,19/3/2024_12:13:8,none,default,45,Male,54,left,English,0,6,3,1,1,477.9331000027014,1135.333999998693,1726.10810000333,2414.1901999973925,20.27166959999886,None,None,3021.158399998967,1,attended,regular,0.0,
0,-1,-1,0,,,19/3/2024_12:13:11,none,default,45,Male,54,left,English,0,7,3,1,0,546.4035999975749,1136.2671999959275,1719.2431000003126,2386.2246999997296,23.270296700000472,None,None,2993.6161000005086,1,attended,regular,0.0,
0,-1,-1,0,,,19/3/2024_12:13:14,none,default,45,Male,54,left,English,0,8,3,0,0,482.94629999872996,1110.8261999979732,1750.0914999982342,2371.906599997601,26.253540199999406,None,None,2978.066600000602,1,attended,odd,0.0,
0,-1,-1,0,,,19/3/2024_12:13:17,none,default,45,Male,54,left,English,0,9,3,1,0,493.3845999985351,1107.4415999974008,1745.8246000023792,2407.22249999817,29.272579999997106,None,None,3016.5487000049325,1,attended,regular,0.0,
0,-1,-1,0,,,19/3/2024_12:13:20,none,default,45,Male,54,left,English,0,10,3,1,0,567.8693000008934,1243.662900000345,1835.7422999979462,2482.030200000736,32.3662933999949,None,None,3090.7566000023508,1,attended,regular,0.0,
0,-1,-1,0,,,19/3/2024_12:13:23,none,default,45,Male,54,left,English,0,11,3,0,0,562.3985999991419,1181.2475000042468,1854.444100004912,2432.9957000009017,35.41204769999604,None,None,3043.299200006004,1,attended,odd,0.0,
0,-1,-1,0,,,19/3/2024_12:13:26,none,default,45,Male,54,left,English,0,12,3,1,0,487.4050999933388,1100.4496999958064,1685.4301999992458,2375.6596999955946,38.3980700999964,None,None,2982.727700000396,1,attended,regular,0.0,
0,-1,-1,0,,,19/3/2024_12:13:29,none,default,45,Male,54,left,English,0,13,3,1,0,496.5029999948456,1153.5740999970585,1730.4976000013994,2413.48509999807,41.425292699997954,None,None,3024.7422000029474,1,attended,regular,0.0,
0,-1,-1,0,,,19/3/2024_12:13:32,none,default,45,Male,54,left,English,0,14,3,0,0,564.9151999969035,1194.21699999657,1796.3822000019718,2485.8093000002555,44.52376739999454,None,None,3095.2777999991667,1,attended,odd,0.0,
0,-1,-1,0,,,19/3/2024_12:13:35,none,default,45,Male,54,left,English,0,15,3,1,0,510.30310000351164,1187.8037999995286,1874.8621999984607,2471.473999998125,47.60685759999615,None,None,3080.0772000002326,1,attended,regular,0.0,
0,-1,-1,0,,,19/3/2024_12:13:38,none,default,45,Male,54,left,English,0,16,3,1,4,564.2119999974966,1188.1448999993154,1828.2768999997643,2529.242600001453,50.744333099995856,None,None,3134.737000000314,1,attended,regular,0.0,
0,-1,-1,0,,,19/3/2024_12:13:41,none,default,45,Male,54,left,English,0,17,3,1,0,502.32629999663914,1077.473799996369,1673.656699997082,2259.889499997371,53.613733799997135,None,None,2867.0725999982096,1,attended,regular,0.0,
0,-1,-1,0,,,19/3/2024_12:13:44,none,default,45,Male,54,left,English,0,18,3,0,0,497.02419999812264,1093.8693999996758,1753.8865999958944,2360.8480999973835,56.58978930000012,None,None,2972.061100001156,1,attended,odd,0.0,
0,-1,-1,0,,,19/3/2024_12:13:47,none,default,45,Male,54,left,English,0,19,3,0,0,479.8986000023433,1054.910099999688,1681.7792000001646,2357.856800001173,59.55681650000042,None,None,2964.8201999953017,1,attended,odd,0.0,
0,-1,-1,0,,,19/3/2024_12:13:50,none,default,45,Male,54,left,English,0,20,3,1,0,472.9086000006646,1175.3472999989754,1830.3254999991623,2493.500500000664,62.660442099993816,None,None,3100.6043999950634,1,attended,regular,0.0,
0,-1,-1,0,,,19/3/2024_12:14:4,none,default,45,Male,54,left,English,0,21,3,1,0,557.6172000000952,1173.508200001379,1812.7668000015547,2473.745000002964,76.46157669999957,escape,693.0298000006587,3086.6863999981433,2,attended,regular,0.0,
